id,logged_at,model_version,symbol,strike,option_type,direction,score,trend,mark,bid,ask,delta,theta,iv,volume,gex_negative,dex_bias,spy_price,surge,out_5m_price,out_5m_pnl,out_5m_correct,out_10m_price,out_10m_pnl,out_10m_correct,out_15m_price,out_15m_pnl,out_15m_correct,out_30m_price,out_30m_pnl,out_30m_correct
66,2026-03-11T16:29:03,v2.0,.SPY260311C673,673.0,Call,Bullish,41.9,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
67,2026-03-11T16:29:09,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
68,2026-03-11T16:29:11,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.86,-0.06,16.29,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
69,2026-03-11T16:29:36,v2.0,.SPY260311P681,681.0,Put,Bearish,41.9,Choppy,4.945,4.84,0.0,0.94,-0.05,56.97,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
70,2026-03-11T16:30:07,v2.0,.SPY260311C673,673.0,Call,Bullish,46.9,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
71,2026-03-11T16:30:09,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
72,2026-03-11T16:30:11,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.86,-0.06,16.29,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
73,2026-03-11T16:30:36,v2.0,.SPY260311P681,681.0,Put,Bearish,54.5,Choppy,4.945,4.84,0.0,0.95,-0.01,51.41,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
74,2026-03-11T16:31:07,v2.0,.SPY260311C673,673.0,Call,Bullish,41.9,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
75,2026-03-11T16:31:10,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
76,2026-03-11T16:31:12,v2.0,.SPY260311P677,677.0,Put,Bearish,51.5,Choppy,0.975,0.9,1.05,0.88,-0.05,15.45,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
77,2026-03-11T16:31:46,v2.0,.SPY260311P681,681.0,Put,Bearish,41.9,Choppy,4.945,4.84,0.0,0.94,-0.05,56.97,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
78,2026-03-11T16:32:10,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
79,2026-03-11T16:32:11,v2.0,.SPY260311C673,673.0,Call,Bullish,41.9,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
80,2026-03-11T16:32:12,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.85,-0.07,17.03,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
81,2026-03-11T16:33:10,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0
82,2026-03-11T16:33:11,v2.0,.SPY260311C673,673.0,Call,Bullish,54.6,Choppy,3.065,2.94,3.19,0.99,-0.01,25.53,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0
